City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,La Ronge,CA,2022-05-20 02:49:55,55.1001,-105.2842,44.85,33,20,12.66
216,Hailun,CN,2022-05-20 02:49:56,47.45,126.9333,82.45,18,75,19.01
217,Portree,GB,2022-05-20 02:49:56,57.4129,-6.1942,53.53,80,91,12.77
218,Lagoa,PT,2022-05-20 02:49:57,39.05,-27.9833,58.87,78,81,6.51
219,Norman Wells,CA,2022-05-20 02:49:57,65.282,-126.8329,55.44,47,40,10.36
220,Juneau,US,2022-05-20 02:49:58,58.3019,-134.4197,66.2,73,40,11.5
221,Nanortalik,GL,2022-05-20 02:49:58,60.1432,-45.2371,37.09,69,90,8.16
222,Kushima,JP,2022-05-20 02:49:59,31.4583,131.2333,68.68,72,100,7.74
223,Chaman,PK,2022-05-20 02:49:59,30.9236,66.4512,78.06,12,0,3.53
224,Santa Lucia,ES,2022-05-20 02:50:00,27.9117,-15.5407,61.92,68,20,19.57
225,Hervey Bay,AU,2022-05-20 02:50:00,-25.2986,152.8535,67.41,83,100,24.23
226,Mazatlan,MX,2022-05-20 02:47:11,23.2167,-106.4167,75.02,86,0,1.01
227,Tezu,IN,2022-05-20 02:51:01,27.9167,96.1667,68.29,97,100,3.6
228,Flinders,AU,2022-05-20 02:51:01,-34.5833,150.8552,62.19,70,99,5.99
229,Port Keats,AU,2022-05-20 02:51:02,-14.25,129.55,91.98,34,5,5.32
230,Broken Hill,AU,2022-05-20 02:51:02,-31.95,141.4333,57.29,46,98,12.01
231,Yumaguzino,RU,2022-05-20 02:51:03,52.9041,56.3933,43.0,84,100,2.59
232,Bambous Virieux,MU,2022-05-20 02:51:03,-20.3428,57.7575,73.65,88,40,6.91
233,Valer,NO,2022-05-20 02:51:04,60.6785,11.8331,52.23,83,100,2.26
234,Srednekolymsk,RU,2022-05-20 02:51:04,67.45,153.6833,57.99,31,26,14.74
235,Port Blair,IN,2022-05-20 02:51:05,11.6667,92.75,80.64,89,40,5.75
236,Hithadhoo,MV,2022-05-20 02:51:05,-0.6,73.0833,82.81,72,23,9.95
237,Tamandare,BR,2022-05-20 02:51:06,-8.7597,-35.1047,76.84,89,61,8.05
238,Tromso,NO,2022-05-20 02:50:59,69.6496,18.957,35.62,75,96,3.44
239,Cabo San Lucas,MX,2022-05-20 02:51:07,22.8909,-109.9124,78.62,72,3,11.01
240,Saint-Pierre,RE,2022-05-20 02:51:07,-21.3393,55.4781,66.9,63,0,4.61
241,Talcahuano,CL,2022-05-20 02:51:08,-36.7167,-73.1167,56.88,88,100,28.77
242,Vila Franca Do Campo,PT,2022-05-20 02:51:08,37.7167,-25.4333,61.2,83,100,6.69
243,Xingyi,CN,2022-05-20 02:51:09,24.1877,102.817,63.61,86,100,2.68
244,Boralday,KZ,2022-05-20 02:51:09,43.3578,76.8594,64.26,72,40,4.47
245,Ejido,VE,2022-05-20 02:51:10,8.5514,-71.2375,64.76,84,100,6.38
246,Namibe,AO,2022-05-20 02:51:10,-15.1961,12.1522,66.83,77,78,4.68
247,Kargasok,RU,2022-05-20 02:51:11,59.0556,80.8572,57.34,58,71,19.22
248,Vila Velha,BR,2022-05-20 02:50:31,-20.3297,-40.2925,60.75,72,0,3.44
249,Kattivakkam,IN,2022-05-20 02:51:12,13.2167,80.3167,86.09,70,9,17.43
250,Najran,SA,2022-05-20 02:51:12,17.4924,44.1277,72.25,17,0,3.18
251,Along,IN,2022-05-20 02:51:13,28.1667,94.7667,67.95,99,100,1.36
252,Quarteira,PT,2022-05-20 02:51:13,37.0695,-8.1006,73.17,53,0,10.36
253,Santa Isabel Do Rio Negro,BR,2022-05-20 02:51:14,-0.4139,-65.0192,68.88,99,100,0.54
254,Gamba,GA,2022-05-20 02:51:14,-2.65,10.0,75.02,90,100,3.38
255,Carnarvon,AU,2022-05-20 02:51:15,-24.8667,113.6333,73.94,50,40,12.62
256,Gornopravdinsk,RU,2022-05-20 02:51:15,60.05,69.9,43.77,92,100,14.38
257,Ostersund,SE,2022-05-20 02:51:16,63.1792,14.6357,41.45,70,75,11.5
258,San Pedro De Macoris,DO,2022-05-20 02:48:37,18.4616,-69.2972,77.61,86,35,7.63
259,Saint George,US,2022-05-20 02:49:41,37.1041,-113.5841,91.99,10,0,29.93
260,Saint Anthony,US,2022-05-20 02:51:17,45.0205,-93.218,62.49,86,0,11.5
261,Saint-Joseph,RE,2022-05-20 02:51:18,-21.3667,55.6167,64.78,72,16,9.91
262,Catamarca,AR,2022-05-20 02:50:43,-28.4696,-65.7852,53.78,60,4,1.01
263,San Patricio,US,2022-05-20 02:51:18,28.017,-97.5169,80.55,87,2,15.99
264,Maldonado,UY,2022-05-20 02:51:19,-34.6667,-54.9167,43.99,90,3,4.63
265,Rostock,DE,2022-05-20 02:48:58,54.0887,12.1405,61.09,95,71,15.61
266,Nikolskoye,RU,2022-05-20 02:51:20,59.7035,30.7861,40.87,76,57,4.29
267,Svencioneliai,LT,2022-05-20 02:51:20,55.1667,26.0,52.99,94,100,4.36
268,Georgetown,MY,2022-05-20 02:50:02,5.4112,100.3354,91.33,74,20,5.75
269,Jalu,LY,2022-05-20 02:51:21,29.0331,21.5482,67.86,65,0,12.26
270,Iqaluit,CA,2022-05-20 02:51:21,63.7506,-68.5145,28.13,92,100,4.61
271,Antalaha,MG,2022-05-20 02:51:22,-14.9003,50.2788,70.23,87,21,7.11
272,Kavieng,PG,2022-05-20 02:51:22,-2.5744,150.7967,83.61,72,10,8.7
273,Danjiangkou,CN,2022-05-20 02:52:23,32.5428,111.5086,79.07,51,99,0.83
274,Touros,BR,2022-05-20 02:52:23,-5.1989,-35.4608,78.67,86,73,5.14
275,Masvingo,ZW,2022-05-20 02:52:25,-20.0637,30.8277,58.84,73,80,5.28
276,Sorong,ID,2022-05-20 02:52:25,-0.8833,131.25,82.44,78,100,4.85
277,El Jicaro,GT,2022-05-20 02:52:25,14.9167,-89.9,77.7,89,99,1.97
278,Oyama,JP,2022-05-20 02:52:26,36.3,139.8,77.59,39,100,3.18
