City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
157,Lagoa,PT,2022-05-22 04:57:38,39.05,-27.9833,61.97,95,100,2.17,overcast clouds
158,Asfi,MA,2022-05-22 04:55:10,32.2994,-9.2372,64.11,90,96,12.84,overcast clouds
159,Sitka,US,2022-05-22 04:57:38,57.0531,-135.33,55.36,64,43,1.48,scattered clouds
160,Khani,GE,2022-05-22 04:57:39,41.9563,42.9566,58.57,41,0,3.56,clear sky
161,Rio Grande,BR,2022-05-22 04:57:39,-32.035,-52.0986,54.05,82,100,6.13,overcast clouds
162,Aljezur,PT,2022-05-22 04:57:40,37.3191,-8.8033,62.38,89,100,11.03,overcast clouds
163,Souillac,MU,2022-05-22 04:57:40,-20.5167,57.5167,73.78,78,40,5.75,light rain
164,Vangaindrano,MG,2022-05-22 04:57:41,-23.35,47.6,67.05,84,5,3.8,clear sky
165,Dieppe,FR,2022-05-22 04:57:41,49.75,1.1667,50.2,87,100,3.71,overcast clouds
166,Clyde River,CA,2022-05-22 04:57:41,70.4692,-68.5914,19.63,93,100,16.11,overcast clouds
167,Port Hardy,CA,2022-05-22 04:57:42,50.6996,-127.4199,50.18,87,20,4.61,fog
168,Salvador,SV,2022-05-22 04:57:43,13.8333,-88.9167,71.06,91,100,1.25,overcast clouds
169,Arraial Do Cabo,BR,2022-05-22 04:57:43,-22.9661,-42.0278,68.47,74,11,6.06,few clouds
170,Half Moon Bay,US,2022-05-22 04:56:23,37.4636,-122.4286,60.89,71,0,8.05,clear sky
171,Pisco,PE,2022-05-22 04:57:44,-13.7,-76.2167,60.03,94,100,2.3,mist
172,Rosario Oeste,BR,2022-05-22 04:57:44,-14.8361,-56.4275,61.34,53,27,2.44,scattered clouds
173,Mar Del Plata,AR,2022-05-22 04:57:45,-38.0023,-57.5575,47.95,92,18,4.61,fog
174,Ahipara,NZ,2022-05-22 04:57:45,-35.1667,173.1667,61.3,72,100,12.33,overcast clouds
175,Ligayan,PH,2022-05-22 04:57:46,4.6533,119.4706,79.81,86,100,17.13,overcast clouds
176,Juneau,US,2022-05-22 04:57:46,58.3019,-134.4197,58.1,56,14,3.78,few clouds
177,Baiyin,CN,2022-05-22 04:57:47,36.5583,104.2081,74.19,28,10,4.45,clear sky
178,Yulara,AU,2022-05-22 04:57:47,-25.2406,130.9889,71.51,26,66,6.93,broken clouds
179,Giddalur,IN,2022-05-22 04:57:48,15.35,78.9167,86.13,54,88,18.97,overcast clouds
180,Cap Malheureux,MU,2022-05-22 04:57:48,-19.9842,57.6142,74.46,79,2,8.99,light rain
181,Esperance,AU,2022-05-22 04:57:49,-33.8667,121.9,74.37,50,22,17.87,few clouds
182,Saint-Francois,FR,2022-05-22 04:57:49,46.4154,3.9054,60.24,72,0,3.44,clear sky
183,Loandjili,CG,2022-05-22 04:57:50,-4.7561,11.8578,72.97,88,97,4.23,overcast clouds
184,Oksfjord,NO,2022-05-22 04:57:51,70.2396,22.3479,46.58,80,96,1.72,overcast clouds
185,Nemuro,JP,2022-05-22 04:57:51,43.3236,145.575,52.18,93,94,13.49,overcast clouds
186,Tateyama,JP,2022-05-22 04:58:51,34.9833,139.8667,65.95,73,83,9.51,broken clouds
187,Ust-Nera,RU,2022-05-22 04:58:52,64.5667,143.2,44.46,59,98,3.24,light rain
188,Cabo San Lucas,MX,2022-05-22 04:54:20,22.8909,-109.9124,73.62,65,1,13.6,clear sky
189,Urucara,BR,2022-05-22 04:58:53,-2.5364,-57.76,70.52,97,59,1.59,broken clouds
190,Pangnirtung,CA,2022-05-22 04:58:53,66.1451,-65.7125,28.17,82,100,8.23,overcast clouds
191,Tiarei,PF,2022-05-22 04:58:54,-17.5333,-149.3333,80.62,72,20,10.94,few clouds
192,Yamada,JP,2022-05-22 04:58:54,39.4667,141.95,59.25,85,100,3.83,overcast clouds
193,Lorengau,PG,2022-05-22 04:58:55,-2.0226,147.2712,86.07,65,95,10.18,overcast clouds
