City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
111,Faanui,PF,80.8,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
116,Chhatak,BD,86.99,clear sky,25.0333,91.6667,Hotel Sadi Internationl
119,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
123,Sirur,IN,89.46,few clouds,18.8333,74.3833,Shivtara Retreat
126,Pedernales,DO,79.63,overcast clouds,18.0384,-71.744,Hotel Costa Marina
130,Atuona,PF,77.61,light rain,-9.8,-139.0333,Villa Enata
132,Marawi,PH,78.03,overcast clouds,7.9986,124.2928,Derogongan Residence
133,Piney Green,US,75.9,overcast clouds,34.716,-77.3202,Holiday City Mobile Home Community
138,Kupang,ID,88.05,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
140,Buraydah,SA,82.85,clear sky,26.326,43.975,Mövenpick Qassim
142,Sulangan,PH,84.16,overcast clouds,11.1373,123.7228,Maia's Beach Resort
147,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
151,Les Cayes,HT,77.02,overcast clouds,18.2,-73.75,Villa Orphee
179,Giddalur,IN,86.13,overcast clouds,15.35,78.9167,Shivaji Lodge
191,Tiarei,PF,80.62,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
